Date,Open,High,Low,Close,Adj Close,Volume
8/1/2003,184.37,208.95,172.08,208.95,96.17,2826545386
9/1/2003,202.81,221.24,190.52,208.95,96.17,2786226200
10/1/2003,208.95,251.97,202.81,233.53,107.49,3791995007
11/1/2003,233.53,239.68,196.66,227.39,104.66,2612881960
12/1/2003,227.39,258.12,221.24,245.83,113.14,2683297653
1/1/2004,245.83,368.74,239.68,319.57,154.83,5136810717
2/1/2004,319.57,387.18,301.14,344.16,166.74,3327351088
3/1/2004,350.3,381.03,307.28,344.16,166.74,3566894626
4/1/2004,338.01,381.03,325.72,356.45,172.69,4337698343
5/1/2004,356.45,356.45,276.55,307.28,148.87,3736463835
6/1/2004,307.28,313.43,258.12,288.85,139.94,3426311377
7/1/2004,288.85,319.57,282.7,307.28,157.4,1899295565
8/1/2004,301.14,319.57,282.7,307.28,157.4,1897837215
9/1/2004,307.28,362.59,307.28,356.45,182.58,3723999728
10/1/2004,350.3,393.32,350.3,387.18,198.32,2887905892
11/1/2004,387.18,479.36,387.18,448.63,229.8,3137572449
12/1/2004,454.78,491.65,430.2,473.21,242.39,3471204941
1/1/2005,474.44,503.94,452.32,476.9,252.59,3173846090
2/1/2005,476.9,476.9,430.2,444.94,235.66,4830903137
3/1/2005,444.94,462.15,403.15,420.36,222.64,4099464677
4/1/2005,420.36,435.11,334.32,393.32,208.32,3130054933
5/1/2005,393.32,427.74,388.4,408.07,216.13,3278456720
6/1/2005,405.61,408.07,351.53,368.74,195.3,3842530780
7/1/2005,368.74,400.7,361.36,395.78,219.89,2971387747
8/1/2005,393.32,412.99,299.91,336.78,187.11,3086347165
9/1/2005,331.86,358.91,324.49,356.45,198.03,2169163412
10/1/2005,363.82,371.2,314.66,324.49,180.28,1427087345
11/1/2005,324.49,329.41,270.41,317.12,176.18,2142968045
12/1/2005,322.03,410.53,314.66,403.15,223.98,3325874430
1/1/2006,403.15,494.11,398.24,437.57,243.1,5252022350
2/1/2006,437.57,449.86,390.86,398.24,221.25,2541365890
3/1/2006,395.78,442.49,368.74,427.74,237.64,4783084733
4/1/2006,408.07,494.11,408.07,471.99,262.23,4330978139
5/1/2006,479.36,583.84,395.78,415.45,230.81,14305483402
6/1/2006,403.15,430.2,373.66,422.82,234.91,6087489724
7/1/2006,430.2,452.32,393.32,432.65,242.7,5945171508
8/1/2006,442.49,546.96,430.2,516.23,289.58,7223952670
9/1/2006,528.53,589.98,503.94,571.55,320.61,4632813735
10/1/2006,565.4,694.46,546.96,669.88,375.77,3983158777
11/1/2006,663.73,719.04,639.15,682.17,382.66,3986193443
12/1/2006,712.9,725.19,669.88,712.9,399.9,2974989891
1/1/2007,712.9,725.19,577.69,633,355.09,5046374753
2/1/2007,633,645.29,528.53,571.55,320.61,3209997698
3/1/2007,571.55,633,540.82,614.56,344.74,5884768995
4/1/2007,620.71,817.37,608.42,755.91,424.03,8916780966
5/1/2007,749.77,823.52,731.33,798.93,448.17,4987214992
6/1/2007,798.93,811.23,743.62,768.21,430.93,2574773683
7/1/2007,786.64,934.14,768.21,866.54,496.83,9787747042
8/1/2007,854.24,854.24,645.29,798.93,458.07,6613101610
9/1/2007,792.79,891.12,755.91,866.54,496.83,3535571640
10/1/2007,878.83,995.59,841.95,927.99,532.07,4895206779
11/1/2007,946.43,958.72,798.93,872.68,500.36,7965011756
12/1/2007,884.97,927.99,792.79,860.39,493.31,3056502873
1/1/2008,860.39,872.68,626.86,817.37,468.64,4573322440
2/1/2008,829.66,854.24,780.5,805.08,461.6,2827340665
3/1/2008,786.64,805.08,676.02,774.35,443.98,2887259095
4/1/2008,774.35,792.79,639.15,706.75,405.22,4632754750
5/1/2008,706.75,768.21,663.73,712.9,408.74,3043690957
6/1/2008,712.9,719.04,633,639.15,366.46,2052534113
7/1/2008,651.44,749.77,645.29,731.33,449.05,3018225779
8/1/2008,731.33,774.35,651.44,694.46,426.41,1783843929
9/1/2008,688.31,719.04,485.51,651.44,400,2691289079
10/1/2008,651.44,651.44,280.24,383.49,235.47,2974367504
11/1/2008,393.32,503.94,304.82,366.28,224.9,4008827350
12/1/2008,361.36,553.11,339.24,497.8,305.66,2878612730
1/1/2009,497.8,559.25,435.11,447.4,274.72,2558807096
2/1/2009,437.57,449.86,415.45,427.74,262.64,1856454265
3/1/2009,417.9,559.25,412.99,534.67,328.3,2361608573
4/1/2009,553.11,706.75,522.38,682.17,418.87,2794406788
5/1/2009,700.6,755.91,596.13,731.33,449.05,4568178555
6/1/2009,743.62,921.85,725.19,780.5,495.25,3270691062
7/1/2009,798.93,1050.91,768.21,1026.32,651.24,4401615538
8/1/2009,1044.76,1063.2,909.56,1007.89,639.54,2495241779
9/1/2009,977.16,1216.84,952.58,1155.38,733.13,1836181790
10/1/2009,1149.24,1302.88,1050.91,1149.24,729.23,2327185834
11/1/2009,1155.38,1216.84,1057.05,1093.93,694.13,2015764186
12/1/2009,1118.51,1161.53,1075.49,1155.38,733.13,1580030968
1/1/2010,1155.38,1216.84,1106.22,1149.24,732.28,1820961666
2/1/2010,1149.24,1161.53,1020.18,1100.07,700.95,1924201408
3/1/2010,1100.07,1388.92,1081.63,1315.17,838.01,2740488538
4/1/2010,1290.59,1425.79,1216.84,1425.79,908.5,2870487057
5/1/2010,1413.5,1438.08,1155.38,1315.17,838.01,2860488110
6/1/2010,1266,1499.54,1253.71,1474.96,939.82,1888088447
7/1/2010,1438.08,1548.7,1376.62,1474.96,957.41,1587554585
8/1/2010,1438.08,1499.54,1339.75,1450.37,941.45,1416197523
9/1/2010,1474.96,1782.24,1425.79,1769.95,1148.89,1693281864
10/1/2010,1683.91,1769.95,1622.45,1720.78,1116.98,1772093739
11/1/2010,1745.36,1782.24,1560.99,1573.29,1021.24,1315500230
12/1/2010,1647.03,1696.2,1499.54,1597.87,1037.19,1722670548
1/1/2011,1585.58,1696.2,1315.17,1462.66,952.33,4744958153
2/1/2011,1499.54,1536.41,1337.5,1450,944.09,4085954079
3/1/2011,1475,1700,1425,1700,1106.86,4470488000
4/1/2011,1712.5,1812.5,1637.5,1787.5,1163.83,2542330000
5/1/2011,1837.5,1837.5,1700,1800,1171.97,2746034000
6/1/2011,1787.5,1812.5,1675,1800,1171.97,1915470000
7/1/2011,1825,2037.5,1787.5,1962.5,1300.34,2386126000
8/1/2011,2012.5,2025,1662.5,1712.5,1134.69,3429210000
9/1/2011,1712.5,1825,1275,1575,1043.58,4635456000
10/1/2011,1437.5,1825,1375,1787.5,1184.38,3527560000
11/1/2011,1700,1850,1575,1600,1060.15,3334466000
12/1/2011,1600,1750,1550,1687.5,1118.12,1955562000
1/1/2012,1675,1787.5,1650,1675,1109.84,2523972012
